,name,operating,admission rate,student size,demographics men,demographics women,cost tuition in_state,cost tuition out_of_state,cost attendance academic_year,cost attendance program_year,race_ethnicity white,race_ethnicity black,race_ethnicity hispanic,race_ethnicity asian,race_ethnicity aian,race_ethnicity nhpi,race_ethnicity unknown,SAT Average,ACT Average,earnings 1_yr_after_completion median,earnings 4_yrs_after_completion median,retention_rate four_year full_time,retention_rate lt_four_year full_time,retention_rate four_year part_time,retention_rate lt_four_year part_time,retention_rate four_year full_time_pooled,retention_rate lt_four_year full_time_pooled,retention_rate four_year part_time_pooled,retention_rate lt_four_year part_time_pooled,retention_rate cohort four_year full_time_pooled,retention_rate cohort lt_four_year full_time_pooled,retention_rate cohort four_year part_time_pooled,retention_rate cohort lt_four_year part_time_pooled,retention_rate pooled_yrs_used full_time,retention_rate pooled_yrs_used part_time,retention_rate_suppressed four_year full_time_pooled,retention_rate_suppressed lt_four_year full_time_pooled,retention_rate_suppressed four_year part_time_pooled,retention_rate_suppressed lt_four_year part_time_pooled,retention_rate overall full_time,program_percentage agriculture,program_percentage resources,program_percentage architecture,program_percentage ethnic_cultural_gender,program_percentage communication,program_percentage communications_technology,program_percentage computer,program_percentage personal_culinary,program_percentage education,program_percentage engineering,program_percentage engineering_technology,program_percentage language,program_percentage family_consumer_science,program_percentage legal,program_percentage english,program_percentage humanities,program_percentage library,program_percentage biological,program_percentage mathematics,program_percentage military,program_percentage multidiscipline,program_percentage parks_recreation_fitness,program_percentage philosophy_religious,program_percentage theology_religious_vocation,program_percentage physical_science,program_percentage science_technology,program_percentage psychology,program_percentage security_law_enforcement,program_percentage public_administration_social_service,program_percentage social_science,program_percentage construction,program_percentage mechanic_repair_technology,program_percentage precision_production,program_percentage transportation,program_percentage visual_performing,program_percentage health,program_percentage business_marketing,program_percentage history,assoc agriculture,assoc resources,assoc architecture,assoc ethnic_cultural_gender,assoc communication,assoc communications_technology,assoc computer,assoc personal_culinary,assoc education,assoc engineering,assoc engineering_technology,assoc language,assoc family_consumer_science,assoc legal,assoc english,assoc humanities,assoc library,assoc biological,assoc mathematics,assoc military,assoc multidiscipline,assoc parks_recreation_fitness,assoc philosophy_religious,assoc theology_religious_vocation,assoc physical_science,assoc science_technology,assoc psychology,assoc security_law_enforcement,assoc public_administration_social_service,assoc social_science,assoc construction,assoc mechanic_repair_technology,assoc precision_production,assoc transportation,assoc visual_performing,assoc health,assoc business_marketing,assoc history,address,lat,lon
0,A Better U Beauty Barber Academy,1,,53.0,0.8679,0.1321,,,,21962.0,0.1509,0.0,0.7925,0.0,0.0,0.0,0.0566,,,,,,1.0,,1.0,,1.0,,1.0,,23.0,,5.0,4.0,4.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400 Phoenix Ave NE Suite 105,35.11063,-106.583765
1,A T Still University of Health Sciences,1,,,,,,,,,,,,,,,,,,73982.0,101684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800 W Jefferson,40.193648,-92.589183
2,Aaniiih Nakoda College,1,,105.0,0.4286,0.5714,2410.0,2410.0,13021.0,,0.1429,0.0,0.0,0.0,0.8571,0.0,0.0,,,24085.0,25808.0,0.6667,,0.0,,0.6667,,0.0,,6.0,,1.0,,4.0,4.0,,,,,0.6667,0.0,0.0769,0.0,0.0385,0.0,0.0,0.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0385,0.0,0.0,0.0,0.0,0.0769,0.5385,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,269 Blackfeet Avenue,48.484196,-108.757816
3,ABC Adult School,1,,125.0,0.176,0.824,,,,12267.0,0.088,0.08,0.656,0.12,0.008,0.008,0.0,,,,,,0.373,,,,0.3962,,,,159.0,,,2.0,,,0.3962,,,0.373,0.0,0.0,0.0,0.0,0.0,0.0088,0.0263,0.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0702,0.0,0.0,0.0,0.4298,0.2807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12254 Cuesta Drive,33.878179,-118.070114
4,ABC Adult School - Cabrillo Lane,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ABC Beauty Academy,1,,19.0,0.0526,0.9474,,,,12633.0,0.0526,0.2105,0.1579,0.5789,0.0,0.0,0.0,,,17024.0,12591.0,,0.8,,,,0.75,,,,32.0,,,2.0,,,0.75,,,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109 Buckingham Rd.,32.931698,-96.685333
6,ABCO Technology,1,,253.0,0.9407,0.0593,,,,,0.2411,0.2964,0.2253,0.0514,0.0158,0.0079,0.0711,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2635,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11222 S. La Cienega Blvd Ste 588,33.932121,-118.369774
7,Abcott Institute,1,,110.0,0.1,0.9,,,,3404.0,0.0455,0.9455,0.0,0.0091,0.0,0.0,0.0,,,20658.0,18479.0,,0.2769,,,,0.2424,,,,165.0,,,2.0,,,0.2424,,,0.2769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463,0.0,0.0,0.0,0.9537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"16250 Northland Drive, Suite 205",42.446331,-83.210617
8,Abilene Christian University,1,0.7011,3131.0,0.3916,0.6084,39350.0,39350.0,53368.0,,0.634,0.0789,0.1808,0.0153,0.0038,0.0003,0.0035,1186.0,25.0,39943.0,51579.0,0.7923,,0.3333,,0.7782,,0.5806,,1754.0,,31.0,,2.0,2.0,0.7782,,0.5806,,0.7923,0.0142,0.0052,0.009,0.0,0.0413,0.0,0.0142,0.0,0.0671,0.0219,0.0,0.0039,0.0245,0.0,0.0103,0.0206,0.0,0.0581,0.0065,0.0,0.0271,0.0787,0.0,0.049,0.0103,0.0,0.071,0.0155,0.0335,0.0129,0.0,0.0,0.0,0.0,0.0774,0.1187,0.2,0.009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600 Campus Court,32.468943,-99.709797
9,Abilene Christian University-Undergraduate Online,1,1.0,415.0,0.1783,0.8217,14520.0,14520.0,,,0.3542,0.2361,0.3012,0.0096,0.0048,0.0024,0.0313,,,39943.0,51579.0,,,,,,,,,0.0,,0.0,,4.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"16633 Dallas Parkway, Suite 800",32.977065,-96.826833
