('alabama a m aamu', 'alabama a m university')
('alexandria technical and community college', 'alexandria technical community college')
('american international college aic', 'american international college')
('american university in bulgaria', None)
('american university of puerto rico bayamon', None)
('american university of puerto rico manati', None)
('anderson university indiana', None)
('anderson university south carolina', None)
('anglo american university', None)
('arizona state university asu', 'arizona state university')
('arkansas state university main campus', None)
('art institute of atlanta', 'the art institute of atlanta')
('art institute of houston', 'the art institute of houston')
('artcenter college of design artcenter', 'art center college of design')
('azusa pacific university apu', 'azusa pacific university')
('baldwin wallace university bw', 'baldwin wallace university')
('ball state university bsu', 'ball state university')
('baptist memorial college of health sciences', 'american college of healthcare sciences')
('bard college at simon rock', 'bard college at simon')
('baruch college cuny baruch', 'north west college long beach')
('benjamin franklin institute of technology', 'benjamin franklin cummings institute of technology')
('berklee college of music berklee', 'berklee college of music')
('bethany college kansas', None)
('bethany college west virginia', None)
('bethel college indiana', None)
('bethel university minnesota', 'bethel university')
('bethel university tennessee', None)
('birmingham southern college bsc', 'birmingham southern college')
('blinn college', None)
('bloomfield college of montclair state university', None)
('bloomsburg university bloomu', 'bloomsburg university of pennsylvania')
('blue mountain college bmc', 'blue mountain college')
('blue ridge community college north carolina', 'blue ridge community college')
('blue ridge community college virginia', None)
('boise state university bsu', 'boise state university')
('boston college bc', 'boston college')
('boston university bu', 'boston university')
('bowling green state university bgsu', 'bowling green state university')
('brigham young university byu', 'brigham young university')
('brooklyn college', None)
('bryan university arizona', None)
('bryan university missouri', None)
('bryant and stratton college albany', 'bryant stratton college albany')
('bryant and stratton college buffalo', 'bryant stratton college buffalo')
('bryant and stratton college greece', 'bryant stratton college greece')
('bryant and stratton college parma', 'bryant stratton college parma')
('bryant and stratton college syracuse north', 'bryant and stratton college syracuse')
('bryant and stratton college virginia beach', 'bryant and stratton college virginia')
('california college of the arts cca', 'california college of the arts')
('california institute of technology caltech', 'california institute of technology')
('california institute of the arts cal arts', 'california institute of the arts')
('california polytechnic state university cal poly', 'california polytechnic state university san luis obispo')
('california state polytechnic university pomona cal poly pomona', 'california state polytechnic university pomona')
('california state university channel islands csu channel islands', 'california state university channel islands csu channel')
('california state university east bay csu east bay', 'california state university east bay')
('california state university fresno csu fresno', 'california state university fresno')
('california state university fullerton csu fullerton', 'california state university fullerton')
('california state university long beach long beach state', 'california state university long beach')
('california state university los angeles cal state la', 'california state university los angeles')
('california state university northridge csun', 'california state university northridge')
('california state university stanislaus stanislaus state', 'california state university stanislaus stanislaus')
('carnegie mellon university cmu', 'carnegie mellon university')
('catholic university of america cua', 'the catholic university of america')
('cayuga community college', 'cayuga county community college')
('central michigan university cmu', 'central michigan university')
('central washington university cwu', 'central washington university')
('christ college of nursing and health sciences', 'the christ college of nursing and health sciences')
('christopher newport university cnu', 'christopher newport university')
('city college of new york ccny', None)
('claremont mckenna college cmc', 'claremont mckenna college')
('clark atlanta university cau', 'clark atlanta university')
('clayton state university', 'clayton  state university')
('cleveland state university csu', 'cleveland state university')
('coastal carolina university coastal', 'coastal carolina university')
('college of charleston south carolina', 'college of charleston')
('college of idaho', 'the college of idaho')
('college of saint elizabeth', None)
('college of saint rose', 'the college of saint rose')
('college of saint scholastica', 'the college of saint scholastica')
('college of st benedict csb', 'college of saint benedict')
('college of the atlantic coa', 'college of the atlantic')
('college of the florida keys', 'college of the florida')
('college of the holy cross holy cross', 'college of the holy cross')
('college of westchester', 'the college of westchester')
('college of william mary william mary', None)
('college of wooster', 'the college of wooster')
('college university', None)
('colorado school of mines mines', 'colorado school of mines')
('colorado state university csu', 'colorado state university')
('columbia college missouri', None)
('columbia college south carolina', None)
('columbia university', None)
('concordia college minnesota', None)
('conservatory of music of puerto rico', 'puerto rico conservatory of music')
('cooper union', None)
('crowley s ridge college', "crowley's ridge college")
('d youville university', "d'youville  university")
('dabney s lancaster community college', None)
('dallas baptist university dbu', 'dallas baptist university')
('davis and elkins college', 'davis elkins college')
('davis college new york', None)
('davis college ohio', None)
('dixie state university', None)
('doane university arts and sciences', None)
('dominican college of blauvelt', None)
('dordt college', None)
('east carolina university ecu', 'east carolina university')
('east tennessee state university etsu', 'east tennessee state university')
('eastern michigan university emu', 'eastern michigan university')
('eastern washington university ewu', 'eastern washington university')
('edward waters college', None)
('elizabethtown college e town', 'elizabethtown college')
('elms college', None)
('embry riddle aeronautical university', None)
('emmanuel college massachusetts', 'emmanuel college')
('emory and henry college', 'emory henry college')
('evergreen state college', 'the evergreen state college')
('fayetteville state university fsu', 'fayetteville state university')
('fidm fashion institute of design and merchandising los angeles', 'fidm fashion institute of design merchandising')
('florida a m university famu', 'florida agricultural and mechanical university')
('florida atlantic university fau', 'florida atlantic university')
('florida institute of technology florida tech', 'florida institute of technology')
('florida international university fiu', 'florida international university')
('florida state university fsu', 'florida state university')
('franklin and marshall college f m', 'franklin and marshall college')
('franklin w olin college of engineering olin', 'franklin w olin college of engineering')
('gateway community college arizona', None)
('gateway community college connecticut', None)
('george fox university gfu', 'george fox university')
('george washington university gw', 'george washington university')
