Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
kings college london,n/a,n/a,unknown,unknown,,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
kings college new york,56 Broadway New York NY 10004,(40.70683 -74.01246),$54954,$54954,57,('44%' '46%' '38%'),1011,('65%' '35%'),13%,Co-ed,('63%' '37%'),79%,3%,4%,5%,7%,1%,24%,59%
kings college pennsylvania,133 N River St Wilkes-Barre PA 18711,(41.25033 -75.88013),$55166,$55166,418,('96%' '96%' '95%'),3079,('54%' '46%'),14%,Co-ed,('48%' '52%'),74%,9%,2%,4%,7%,&lt; 1%,10%,77%
kings university texas,2121 E. Southlake Boulevard Southlake TX 76092,(32.93968 -97.12109),$15900,$15900,10,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),38%,3%,4%,12%,10%,2%,11%,61%
kirkwood community college,6301 Kirkwood Blvd SW Cedar Rapids IA 52406-2068,(41.91577 -91.6566),$5308,$7072,1647,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,1%,2%,10%,6%,1%,10%,71%
kirtland community college,4800 W 4 Mile Road Grayling MI 49738,(44.59848 -84.70142),$6390,$8580,91,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,0%,1%,2%,3%,1%,6%,88%
kishwaukee college,21193 Malta Rd Malta IL 60150-9699,(41.93892 -88.88111),$9390,$13800,327,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,1%,11%,24%,1%,6%,57%
klamath community college,7390 South Sixth Street Klamath Falls OR 97603-7121,(42.19619 -121.69868),$4497,$7125,138,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,0%,1%,1%,19%,2%,11%,65%
knox college,2 E South St Galesburg IL 61401,(40.94387 -90.37102),$61797,$61797,270,('70%' '73%' '66%'),3061,('52%' '48%'),13%,Co-ed,('54%' '46%'),81%,17%,6%,9%,17%,&lt; 1%,10%,57%
kutztown university of pennsylvania,15200 Kutztown Rd Kutztown PA 19530,(40.50976 -75.78415),$22000,$26108,1490,('97%' '98%' '96%'),6698,('56%' '44%'),23%,Co-ed,('55%' '45%'),74%,1%,2%,8%,9%,&lt; 1%,5%,76%
kuyper college,3333 East Beltline Ave NE Grand Rapids MI 49525,(43.02215 -85.59044),$32710,$32710,17,('69%' '62%' '81%'),106,('65%' '35%'),23%,Co-ed,('35%' '65%'),75%,4%,3%,2%,3%,1%,8%,84%
la roche university,9000 Babcock Blvd Pittsburgh PA 15237,(40.56723 -80.01648),$44204,$44204,148,('98%' '97%' '98%'),1444,('54%' '46%'),10%,Co-ed,('63%' '37%'),70%,17%,2%,10%,4%,&lt; 1%,10%,73%
la salle university,1900 W Olney Ave Philadelphia PA 19141,(40.03832 -75.15379),$48500,$48500,482,('81%' '82%' '79%'),5818,('64%' '36%'),10%,Co-ed,('61%' '39%'),74%,2%,5%,21%,18%,&lt; 1%,7%,49%
la sierra university,4500 Riverwalk Parkway Riverside CA 92505,(33.90975 -117.49507),$43008,$43008,287,('66%' '67%' '63%'),2726,('67%' '33%'),16%,Co-ed,('56%' '44%'),78%,12%,20%,8%,52%,&lt; 1%,4%,16%
