Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
aaniiih nakoda college,269 Blackfeet Avenue Harlem MT 59526,(48.48461 -108.75933),$2410,$2410,18,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,&lt; 1%,&lt; 1%,&lt; 1%,87%,&lt; 1%,13%
abilene christian university,1600 Campus Ct Abilene TX 79699,(32.46678 -99.70893),$50978,$50978,833,('70%' '71%' '66%'),8208,('65%' '35%'),14%,Co-ed,('62%' '38%'),77%,4%,1%,9%,18%,&lt; 1%,6%,66%
abraham baldwin agricultural college,2802 Moore Hwy Tifton GA 31793,(31.47547 -83.52372),$11527,$18433,865,('76%' '73%' '78%'),2190,('61%' '39%'),52%,Co-ed,('56%' '44%'),64%,1%,1%,21%,5%,&lt; 1%,1%,71%
academy college,1600 W. 82nd Street Suite 100 Bloomington MN 55431-1411,(44.85602 -93.2996),$18644,$18644,16,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),100%,0%,4%,1%,2%,2%,33%,58%
academy of art university,79 New Montgomery San Francisco CA 94105,(37.78781 -122.40092),$44910,$44910,281,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,24%,7%,12%,16%,1%,36%,27%
adams state university,208 Edgemont Blvd Alamosa CO 81101,(37.47058 -105.88079),$18847,$27100,318,('100%' '99%' '100%'),1717,('54%' '46%'),19%,Co-ed,('43%' '57%'),54%,1%,2%,6%,32%,2%,18%,40%
adelphi university,South Ave Garden City NY 11530,(40.72277 -73.65431),$59055,$59055,1330,('78%' '80%' '73%'),15984,('65%' '35%'),11%,Co-ed,('69%' '31%'),80%,4%,11%,9%,17%,&lt; 1%,11%,52%
adrian college,110 S Madison St Adrian MI 49221,(41.89896 -84.05839),$51697,$51697,573,('76%' '76%' '75%'),2736,('44%' '56%'),28%,Co-ed,('40%' '60%'),71%,0%,1%,7%,5%,&lt; 1%,20%,68%
advanced technology institute,5700 Southern Blvd Ste 100 Virginia Beach VA 23462,(36.84158 -76.18178),$13200,$13200,159,('59%' '43%' '61%'),402,('13%' '87%'),67%,Co-ed,('11%' '89%'),78%,0%,2%,32%,10%,1%,12%,42%
adventhealth university,671 Winyah Drive Orlando FL 32803,(28.57624 -81.36811),$31164,$31164,74,('90%' '90%' '91%'),257,('85%' '15%'),32%,Co-ed,('83%' '17%'),66%,1%,7%,16%,31%,&lt; 1%,7%,38%
