Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
neosho county community college,800 W 14th St Chanute KS 66720,(37.66739 -95.46387),n/a,n/a,238,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,4%,1%,4%,9%,1%,7%,79%
ner israel rabbinical college,400 Mount Wilson Ln Baltimore MD 21208,(39.38723 -76.75209),$20200,$20200,38,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,5%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,100%
neumann university,One Neumann Drive Aston PA 19014,(39.87415 -75.44243),$49160,$49160,359,('84%' '85%' '81%'),3463,('67%' '33%'),12%,Co-ed,('60%' '40%'),71%,1%,2%,24%,6%,&lt; 1%,15%,53%
neumont college of computer science,143 South Main Street Salt Lake City UT 84111,(40.76606 -111.891),$35553,$35553,n/a,('88%' '86%' '88%'),1169,('23%' '77%'),50%,Enrolled women:,('83%' ''),n/a,n/a
new college of florida,5800 Bay Shore Road Sarasota FL 34243,(27.38484 -82.55911),$17458,$40486,160,('74%' '75%' '71%'),1650,('69%' '31%'),13%,Co-ed,('70%' '30%'),76%,2%,3%,3%,18%,&lt; 1%,5%,71%
new england college,98 Bridge St Henniker NH 03242,(43.17966 -71.82236),$57114,$57114,211,('100%' '100%' '99%'),5952,('60%' '40%'),4%,Co-ed,('47%' '53%'),56%,3%,2%,26%,10%,1%,8%,52%
new england conservatory of music,290 Huntington Ave Boston MA 02115,(42.34129 -71.08666),$71790,$71790,90,('43%' '38%' '47%'),952,('49%' '51%'),22%,Co-ed,('46%' '54%'),92%,41%,14%,4%,6%,&lt; 1%,15%,61%
new england institute of technology,One New England Tech Boulevard East Greenwich RI 02818,(41.662782 -71.501443),$48932,$48932,381,('68%' '57%' '75%'),2058,('37%' '63%'),27%,Co-ed,('25%' '75%'),n/a,n/a
new hope christian college eugene,2155 Bailey Hill Rd Eugene OR 97405,(44.03254 -123.15319),$22000,$22000,6,('27%' '30%' '22%'),77,('64%' '36%'),29%,Co-ed,('33%' '67%'),64%,0%,8%,14%,9%,&lt; 1%,11%,58%
new jersey city university,2039 Kennedy Blvd Jersey City NJ 07305,(40.71025 -74.08681),$30412,$40704,761,('91%' '92%' '88%'),5586,('60%' '40%'),15%,Co-ed,('52%' '48%'),73%,7%,9%,23%,40%,&lt; 1%,7%,21%
new jersey institute of technology njit,University Heights Newark NJ 07102,(40.74403 -74.18255),$32216,$48234,1374,('69%' '75%' '66%'),11578,('34%' '66%'),17%,Co-ed,('29%' '71%'),88%,4%,20%,8%,19%,&lt; 1%,23%,30%
new mexico highlands university,University Ave Las Vegas NM 87701,(35.59607 -105.21537),$15784,$20440,161,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,4%,2%,5%,61%,9%,3%,20%
new mexico institute of mining and technology new mexico tech,801 Leroy Place Socorro NM 87801,(34.06778 -106.90346),$16943,$32772,301,('97%' '96%' '97%'),1006,('40%' '60%'),31%,Co-ed,('30%' '70%'),76%,2%,4%,2%,31%,4%,6%,54%
new mexico junior college,5317 Lovington Hwy Hobbs NM 88240,(32.75981 -103.17998),$6320,$6680,361,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),54%,0%,1%,8%,54%,1%,5%,31%
new mexico military institute,101 W.  College Blvd. Roswell NM 88201-5173,(33.40868 -104.52293),$13291,$20343,189,('41%' '31%' '43%'),555,('23%' '77%'),84%,Co-ed,('16%' '84%'),48%,16%,4%,12%,38%,9%,4%,33%
new mexico state university alamogordo,2400 North Scenic Drive Alamogordo NM 88310,(32.9193 -105.92628),$2424,$5376,73,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),52%,1%,2%,3%,45%,5%,7%,38%
new mexico state university dona ana,2800 N. Sonoma Ranch Blvd. Las Cruces NM 88011,(32.35502 -106.74056),$2160,$5664,832,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),59%,3%,1%,2%,74%,2%,4%,18%
new mexico state university grants,1500 Third Street Grants NM 87020-2025,(35.16535 -107.8435),$2280,$4104,42,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),42%,2%,&lt; 1%,1%,48%,32%,3%,15%
new mexico state university nmsu,2850 Weddell Street Las Cruces NM 88003,(32.2824 -106.75332),$18708,$35174,2013,('57%' '57%' '56%'),12535,('62%' '38%'),28%,Co-ed,('59%' '41%'),74%,5%,1%,3%,62%,2%,3%,28%
new orleans baptist theological seminary,3939 Gentilly Blvd New Orleans LA 70126,(30.00273 -90.04496),$14785,$14785,19,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),67%,0%,6%,12%,6%,&lt; 1%,12%,64%
new river community college,5251 College Drive Dublin VA 24084-3660,(37.10289 -80.69704),$4697,$10699,471,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),59%,1%,3%,4%,5%,&lt; 1%,6%,82%
new school,66 West 12th Street New York NY 10011,(40.73566 -73.99694),$73894,$73894,1902,('66%' '66%' '65%'),9696,('75%' '25%'),30%,Co-ed,('78%' '22%'),82%,32%,13%,8%,15%,&lt; 1%,22%,42%
new york college of health professions,6801 Jericho Tpk Syosset NY 11791-4413,(40.81006 -73.51684),$14235,$14235,10,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
new york conservatory for dramatic arts,39 W 19th Street Fl 2 New York NY 10011-4225,(40.73998 -73.9935),$35350,$35350,102,('90%' '92%' '85%'),332,('62%' '38%'),34%,Co-ed,('61%' '39%'),66%,11%,1%,20%,25%,1%,10%,43%
new york institute of technology nyit,Northern Blvd Old Westbury NY 11568,(40.81619 -73.60838),$55532,$55532,952,('80%' '82%' '78%'),10469,('47%' '53%'),11%,Co-ed,('36%' '64%'),72%,16%,21%,10%,18%,&lt; 1%,23%,28%
new york school of interior design,170 East 70th Street New York NY 10021,(40.76876 -73.96232),$48800,$48800,13,('54%' '56%' '39%'),191,('85%' '15%'),19%,Co-ed,('95%' '5%'),0%,15%,9%,5%,14%,&lt; 1%,9%,64%
new york university nyu,70 Washington Sq South New York NY 10012,(40.72973 -73.99695),$76182,$76182,6097,('13%' '13%' '12%'),95517,('61%' '39%'),49%,Co-ed,('61%' '39%'),94%,19%,23%,8%,17%,&lt; 1%,13%,39%
newberry college,2100 College St Newberry SC 29108,(34.28531 -81.62164),$39950,$39950,328,('57%' '55%' '59%'),2160,('52%' '48%'),26%,Co-ed,('35%' '65%'),61%,5%,1%,26%,4%,1%,11%,58%
newman university,3100 McCormick Ave Wichita KS 67213,(37.6737 -97.38151),$44104,$44104,150,('72%' '70%' '73%'),695,('63%' '37%'),30%,Co-ed,('58%' '42%'),78%,2%,6%,3%,15%,1%,5%,70%
newschool of architecture and design,1249 F St San Diego CA 92101,(32.71365 -117.15315),$29427,$29427,14,('61%' '58%' '62%'),189,('48%' '52%'),13%,Co-ed,('46%' '54%'),46%,0%,13%,9%,&lt; 1%,4%,34%,40%
nhti concord community college,31 College Drive Concord NH 03301-7412,(43.22371 -71.52935),$17830,$26080,380,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,0%,2%,4%,6%,1%,15%,73%
niagara county community college,3111 Saunders Settlement Rd Sanborn NY 14132,(43.14655 -78.87661),$5980,$10924,782,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,2%,9%,5%,1%,6%,76%
niagara university,Lewiston Road Niagara University NY 14109,(43.1355 -79.0383),$48380,$48380,625,('92%' '93%' '90%'),3628,('65%' '35%'),19%,Co-ed,('61%' '39%'),84%,14%,2%,6%,5%,1%,8%,80%
