Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
urban college of boston,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
ursinus college,601 E. Main St Collegeville PA 19426,(40.19136 -75.45825),$70660,$70660,433,('83%' '86%' '79%'),3818,('50%' '50%'),14%,Co-ed,('46%' '54%'),89%,2%,5%,7%,7%,&lt; 1%,6%,75%
ursuline college,2550 Lander Rd Pepper Pike OH 44124,(41.49579 -81.46463),$47300,$47300,121,('82%' '83%' '69%'),610,('93%' '7%'),24%,Co-ed,('96%' '4%'),71%,2%,2%,24%,2%,&lt; 1%,10%,62%
utah state university,Old Main Hill Logan UT 84322,(41.74833 -111.83423),$17036,$32156,4223,('93%' '92%' '92%'),15567,('52%' '48%'),29%,Co-ed,('58%' '42%'),73%,1%,2%,1%,6%,2%,7%,82%
utah valley university,800 W University Parkway Orem UT 84058-5999,(40.27483 -111.7123),$6010,$17092,3130,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,1%,1%,1%,12%,1%,5%,80%
utica university,1600 Burrstone Rd Utica NY 13502,(43.09455 -75.27072),$36786,$36786,456,('89%' '90%' '88%'),3277,('55%' '45%'),16%,Co-ed,('52%' '48%'),70%,1%,4%,12%,9%,&lt; 1%,8%,67%
valdosta state university vsu,1500 N Patterson St Valdosta GA 31698,(30.84864 -83.28743),$15353,$26408,1782,('76%' '77%' '72%'),8650,('70%' '30%'),27%,Co-ed,('67%' '33%'),65%,2%,1%,39%,6%,&lt; 1%,4%,49%
valencia college,1768 Park Center Drive Orlando FL 32835,(28.52086 -81.4711),$1984,$7933,4266,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
valley city state university,101 College St SW Valley City ND 58072,(46.91946 -98.00151),$15114,$19888,196,('81%' '83%' '80%'),442,('39%' '61%'),54%,Co-ed,('43%' '57%'),68%,2%,1%,3%,5%,1%,5%,85%
valley forge military college,1001 Eagle Rd Wayne PA 19087-3695,(40.05278 -75.38301),$47975,$47975,32,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,&lt; 1%,&lt; 1%,&lt; 1%,&lt; 1%,100%,&lt; 1%
valparaiso university valpo,US Highway 30 and Sturdy Road Valparaiso IN 46383,(41.46003 -87.03667),$57668,$57668,601,('93%' '93%' '92%'),6095,('54%' '46%'),11%,Co-ed,('0%' '100%'),80%,5%,2%,6%,10%,&lt; 1%,7%,74%
vance granville community college,200 Community College Road Henderson NC 27537,(36.32262 -78.4887),$1944,$6552,138,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),57%,1%,1%,32%,9%,1%,11%,45%
vanderbilt university,2101 West End Avenue Nashville TN 37240,(36.15026 -86.8016),$75342,$75342,1626,('7%' '6%' '7%'),47152,('56%' '44%'),48%,Co-ed,('50%' '50%'),97%,8%,15%,11%,10%,1%,10%,52%
vandercook college of music,3140 South Federal Street Chicago IL 60616-3731,(41.83679 -87.62893),$29800,$29800,20,('100%' '100%' '100%'),26,('76%' '24%'),77%,Co-ed,('75%' '25%'),73%,3%,4%,7%,13%,&lt; 1%,4%,72%
vanguard university of southern california,55 Fair Dr Costa Mesa CA 92626,(33.66145 -117.90233),$47680,$47680,500,('69%' '69%' '66%'),2917,('74%' '26%'),25%,Co-ed,('73%' '27%'),75%,2%,5%,5%,40%,&lt; 1%,11%,39%
vassar college,124 Raymond Ave Poughkeepsie NY 12604,(41.68752 -73.89053),$78580,$78580,679,('20%' '17%' '25%'),10884,('70%' '30%'),31%,Co-ed,('61%' '39%'),96%,8%,14%,5%,12%,&lt; 1%,8%,62%
vaughn college of aeronautics and technology vaugn college,86-01 23rd Avenue Flushing NY 11369,(40.76766 -73.88243),$40330,$40330,326,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),78%,6%,11%,19%,35%,&lt; 1%,20%,14%
ventura college,4667 Telegraph Rd Ventura CA 93003-3872,(34.27562 -119.23123),$1398,$8146,1045,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),75%,0%,5%,2%,63%,&lt; 1%,6%,23%
vermilion community college,1900 East Camp Street Ely MN 55731-1918,(47.90419 -91.83845),$12985,$14283,131,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,0%,1%,10%,3%,1%,7%,78%
vermont technical college,124 Admin Drive Randolph VT 05061,(43.94072 -72.60477),$28126,$41542,142,('56%' '40%' '68%'),783,('44%' '56%'),33%,Co-ed,('33%' '67%'),77%,2%,2%,1%,2%,1%,8%,86%
vernon college,4400 College Dr. Vernon TX 76384-4092,(34.15945 -99.3169),$9193,$10633,169,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),22%,1%,2%,7%,26%,1%,6%,58%
vet tech institute,125 Seventh St Pittsburgh PA 15222-3400,(40.4438 -80.00053),$15240,$15240,85,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,1%,6%,&lt; 1%,1%,8%,84%
vet tech institute of houston,4669 Southwest Fwy Ste 100 Houston TX 77027,(29.72954 -95.45472),$15100,$15100,33,('83%' '83%' '80%'),60,('91%' '9%'),66%,Co-ed,('87%' '13%'),60%,0%,&lt; 1%,10%,40%,1%,14%,35%
victor valley college,18422 Bear Valley Rd Victorville CA 92395-5850,(34.47094 -117.26023),$1446,$9233,442,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),43%,0%,2%,9%,63%,&lt; 1%,6%,19%
victoria college,2200 E Red River Victoria TX 77901,(28.8164 -96.98003),$3840,$4872,246,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,2%,5%,51%,&lt; 1%,2%,39%
villa maria college,240 Pine Ridge Rd Buffalo NY 14225-3999,(42.91264 -78.79693),$25900,$25900,104,('76%' '72%' '79%'),307,('56%' '44%'),46%,Co-ed,('42%' '58%'),48%,0%,2%,36%,10%,&lt; 1%,11%,42%
villanova university,800 Lancaster Avenue Villanova PA 19085,(40.03492 -75.34001),$74406,$74406,1772,('25%' '23%' '26%'),24410,('55%' '45%'),29%,Co-ed,('55%' '45%'),96%,2%,6%,5%,8%,&lt; 1%,6%,75%
